author,hit_name,institute,research_area
Muhammad Numan Khan,Muhammad Noman Khan,Hamdard University,"molecular biology,immunology,cancer biology"
Jawad Khan,Jawad Khan,Hanyang University South Korea,"machine learning,text mining,natural language processing,data mining,artificial intelligence"
Young-Koo Lee,Young-Koo Lee,Kyung Hee University,"big data processing and analysis,data mining,database systems"
Tianyun Zhang,Tianyun Zhang,Cleveland State University,"deep learning,mathematical optimization"
Zhengang Li,Zhengang Li,Student， Northeastern University,deep learning
Huaiyu Zhu,Huaiyu Zhu,IBM Research - Almaden,"machine learning,natural language processing,statistics,information processing systems"
Siddhartha Brahma,Siddhartha Brahma,Google Research,"deep learning,artificial intelligence"
Malgorzata Pikies,,,
Andronicus Riyono,,,
Junade Ali,Junade Ali,Unknown affiliation,
Amin Heydari Alashti,Amin Heydari Alashti,Shiraz University,"text mining,big data,machine learning,information retrieval"
Ahmad Asgharian Rezaei,Ahmad Asgharian Rezaei,Royal Melbourne Institue of Technology (RMIT),"machine learning,applied algorithms,complex networks,game theory"
Alireza Elahi,Alireza Elahi (ORCID: 0000-0002-4810-1949),"Associate Professor of Sport Management, Kharazmi University","sport management,sport marketing,strategic management in sport,neuro-marketing"
Sobhan Sayyaran,,,
Mohammad Ghodsi,Mohammad Ghodsi,"Professor of Computer Science, Sharif University of Technology","algorithms,computational geometry"
Remi Eyraud,,,
Stephane Ayache,Stephane Ayache,Aix-Marseille University,"computer vision,transfer learning,explainability"
Anh Khoa Ngo Ho,Anh Khoa NGO HO,Laboratoire Interdisciplinaire des Sciences du Numérique,"natural language processing,deep learning"
François Yvon,François Yvon,LIMSI/CNRS,"natural language processing,speech processing,computational linguistics,machine translation"
Pascal Nardini,,,
Min Chen,Min Chen,"Professor, IEEE Fellow, Highly Cited Researcher, Huazhong University of Science and Technology","cognitive computing and big data analytics,iot sensing,5g networks,robotics,edge computing"
Roxana Bujack,Roxana Bujack,Los Alamos National Laboratory,"data science,visualization,pattern detection,flow fields,moment invariants"
Michael Böttinger,,,
Jiafeng Mao,Jianfeng Mao,The University of Adelaide,"energy materials,battery,electrolyte,catalysis,hydrogen storage"
Yongkui Lai,Yongkui Lai,Harbin Institute of Technology,"nlp,dialogue,conversation,informaction extraction"
Mayssa Ben Kahla,ben kahla mayssa,Phd student,"ia,data science,big data,nlp,web sémantique"
Dalel Kanzari,,,
Ahmed Maalel,Ahmed MAALEL,"PhD, HDR, Associate Professor, ISSATSo, University of Sousse | Researcher at  RIADI Lab., ENSI","artificial intelligence,decision support systems,knowledge management,ontology,case-based reasoning"
Juyong Jiang,Juyong Jiang,"PhD Student, DeepSE Lab, The Hong Kong University of Science and Technology","machine learning,time series,recommender systems,natural language processing"
Jie Zhang,Jie Zhang,Shanghai Jiao Tong University,高能量密度物理
Jie Wu,Jie Wu,"Laura H. Carnell Professor, Department of Computer and Information Sciences, Temple","networks,distributed computing,parallel processing"
Guanbin Li,Guangbin Li,"Assistant Professor, University of Maryland, College Park","anaerobic ammonium oxidation (anammox),wastewater/water treatment,environmental engineering,biological degradation,bioremedi"
Xiaoguang Han,Xiaoguang Han,"Assistant Professor, The Chinese University of Hong Kong, Shenzhen","computer vision,computer graphics,deep learning"
Dongsuk Oh,Oh Dongsuk,"Ph.D. student, Korea University","natural language processing,semantics"
Chanhee Lee,Chanhee Lee,The Ohio State University,
Kijong Han,Kijong Han,Kakao Enterprise,natural language processing
Dong-hun Lee,Dong-hun Lee,"Department of Pathobiology and Veterinary Science, University of Connecticut","molecular epidemiology,vaccine,pathogenesis,influenza virus,avian influenza"
Saebyeok Lee,Saebyeok Lee,Korea University,
Rudresh Mishra,,,
Ricardo Rodriguez,Ricardo Rodrigues,European Centre for Social Welfare Policy and Research,"health economics,health and care inequalities,long-term care,ageing"
Valentin Portillo,,,
Mohsen Jafarzadeh,Mohsen Jafarzadeh,University of Colorado Colorado Springs,"robotics,artificial intelligence,machine learning,data science,computer vision"
Yonas Tadesse,Yonas Tadesse,"Associate Professor, UT Dallas","humanoid robotics,soft robotics,smart materials and structure,energy harvesting,mechatronics"
Jessie James P. Suarez,Jessie James P. Suarez,"University of the Philippines, Diliman","machine learning,computer vision,natural language processing"
Prospero C. Naval Jr,Prospero C. Naval Jr.,"Professor, University of the Philippines","artificial intelligence,evolutionary computation,bioinformatics"
Dinghan Shen,Dinghan Shen,Microsoft,"natural language processing,machine learning,deep learning"
Mingzhi Zheng,Mingzhi Zhang,"Associate Professor of Medicine, Vanderbilt University","kidney injury,fibrosis,diabetic nephropathy"
Yanru Qu,Qu Yanru,"University of Illinois, Urbana-Champaign","deep learning,data mining,natural language processing"
Megan Ma,Megan A Rizzo,"Associate Professor of Physiology, University of Maryland School of Medicine","cell signaling,islet biology,fluorescent proteins,fret"
Dmitriy Podkopaev,Dmitry Podkopaev,System Research Institute of the Polish Academy of Sciences,
Avalon Campbell-Cousins,,,
Adam Nicholas,Adam Nicholas Carter,University of Oxford,medicine
Boon Peng Yap,Boon Peng Yap,Nanyang Technological University,"deep learning,computer vision"
Andrew Koh,Andrew Koh,Unknown affiliation,
Mohammad Hadi Bokaei,Mohammad Hadi Bokaei,Assistant professor at Iran Telecommunication Research Center,"natural language understanding,speech summarization,spoken dialogue systems"
Hossein Sameti,Hossein Sameti,"Associate Professor, Sharif University of Technology","speech recognition and synthesis,spoken dialogue systems"
Benjamin P. Chamberlain,Benjamin Paul Chamberlain,Twitter,"graphs,machine learning,social networks"
Emanuele Rossi,Emanuele Rossi,Scuola superiore Sant'Anna Istituto Dirpolis,constitutional law
Dan Shiebler,Dan Shiebler,"Twitter, University of Oxford","machine learning,artificial intelligence,computer vision,neuroscience,computer systems"
Suvash Sedhain,Suvash Sedhain,Twitter Inc,"machine learning,recommender systems,social networks"
Michael M. Bronstein,Michael Bronstein,"DeepMind Professor of AI, University of Oxford / Head Graph ML Research, Twitter","geometric deep learning,graph representation learning,graph neural networks,shape analysis,geometry processing"
Shashwat Aggarwal,Shashwat Aggarwal,Netaji Subhas Institute of Technology,machine learning
Ramesh Singh,Ramesh Singh,"Postdoc Associate, Baylor College of Medicine","cancer biology,biochemistry"
Daniel Pressel,,,
Amy Hemmeter,,,
Sagnik Ray Choudhury,Sagnik Ray Choudhury,University of Michigan,"scholarly data,digital libraries,nlp"
Srinivas Bangalore,Srinivas Bangalore,Interactions,"natural language processing,machine translation,speech understanding"
James Zou,James Zou,Stanford University,"machine learning,computational biology,computational health,statistics,biotech"
Matthew Berger,Matthew Berger,Vanderbilt University,"visualization,computer vision,machine learning"
Stefano Bianchini,,,
Moritz Müller,Moritz Müller,Swinburne University of Technology Sarawak,biogeochemistry
Pierre Pelletier,Pierre Pelletier,University of Strasbourg,"economics of science,econometrics and statistics,machine learning"
Vinay Reddy,Vinay Reddy,"IBM Littleton, MA, USA","software engineering,services research,education research"
Sakthivel Rajendran,,,
Meimei Liu,Meimei Liu,"Sr. Engineer, Bayer Pharmaceuticals","bioprocessing,biomedicine,cell therapy,drug delivery,catalyst"
Jiawei Wu,Jiawei Wu,Unknown affiliation,"natural language processing,vision and language"
David Bamman,David Bamman,UC Berkeley,"natural language processing,machine learning,digital humanities,computational social science"
Patrick J. Burns,Patrick J. Burns,Quantitative Criticism Lab Postdoctoral Fellow at University of Texas at Austin; Research Association at Institute for the Study of the Ancient World,"classics,digital humanities,latin,ancient greek"
Pedro Barrios,Peter Barrios-Lech,"Associate Professor, University of Massachusetts Boston","latin and greek drama,historical pragmatics,historical sociolinguistics,corpus linguistics,stylistics"
Davy Monticolo,Davy Monticolo,"Université de Lorraine, ERPI Laboratory, France","knowledge engineering,multi agent system,artificial intelligence,innovative processes"
Sahbi Sidhom,Sahbi SIDHOM,"Université de Lorraine, France","intélligence économique,représentation-organisation-management de la connaissance,système d'information,recherche d'infor"
Andre T. Nguyen,Andre T. Nguyen,"JURA Bio, Inc.","machine learning,computational epidemiology,malware detection,computational biology"
Luke E. Richards,Luke E. Richards,"University of Maryland, Baltimore County","human-robot interaction,machine learning robustness,grounded language learning"
Gaoussou Youssouf Kebe,Gaoussou Youssouf Kebe,"University of Maryland, Baltimore County","natural language processing,robotics,human-robot interaction,affective computing"
Edward Raff,Edward Raff,Booz Allen Hamilton,"machine learning,malware detection,artificial intelligence,algorithms,biometrics"
Kasra Darvish,Kasra Darvish,"Ph.D. Student, UMBC","machine learning,neural networks,artificial intelligence,grounded language learning"
Frank Ferraro,Francis Ferraro,"University of Maryland, Baltimore County","nlp,computational linguistics"
Cynthia Matuszek,Cynthia Matuszek,"Assistant Professor, UMBC","robotics,natural language grounding,machine learning,knowledge representation"
Jin Yong Yoo,Jin Yong Yoo,Hyperconnect,"computer science,machine learning"
John X. Morris,John X. Morris,University of Virginia,
Eli Lifland,Eli Lifland,Sage,
Ifeanyi-Reuben Nkechi J.,Dr. Nkechi Jacinta Ifeanyi-Reuben,"Nnamdi Azikiwe University Awka, Anambra State, Nigeria","data mining,text mining,natural language processing,machine learning,problem-solving"
Ugwu Chidiebere,Ugwu Chidiebere E,"Dr. of Biochemistry Nnamdi Azikiwe University Awka, nigeria.","medical biochemistry,biochemical toxicology"
Adegbola Tunde,,,
Mahmoud Shams,Mahmoud Shams,Mashhad University of Medical Sciences,"environmental health,water treatment,adsorption,fluoride,nutrient removal"
Amira. A. Elsonbaty,Amira El Sonbaty,"Lecturer of Rheumatology, Rehabilitation & Physical Medicine","rheumatology,rehabilitation,physical medicine"
Wael. Z. ElSawy,Wael Zakaria Elsawy,Assistant Professor at the Faculty of Management and Information Systems Technology - Business,management information system
Zhongfei,Zhongfei Xu,Postdoctoral Fellow，Beijing Computational Science Research Center (CSRC),
Zhang,zhang qy,s china univ,materials
Eugene Tam,Eugene Tam,NSW Office of Environment and Heritage,"plasma physics,nanotechonology,atmospheric climate science"
Shenfei Jiang,,,
Paul Duan,,,
Shawn Meng,,,
Cayden Huang,,,
Yi Han,Yi Fei Han,"PhD Student, University of Toronto",experimental high energy physics
Jacke Xie,,,
Yuanjun Cui,,,
Jinsong Yu,Jinsong Yu,Beihang University,
Minggui Lu,,,
Difeng Wang,Difeng Wang,"Nanjing University, China",infromation extraction
Ermei Cao,Ermei Cao,Nanjing University,
Weijian Sun,WeiJian SUN,Unknown affiliation,
Anubhav Reddy Nallabasannagari,,,
Madhu Reddiboina,Madhu Reddiboina,"RediMinds, Inc.","artificial intelligence,machine learning,digital engineering"
Ryan Seltzer,,,
Trevor Zeffiro,,,
Ajay Sharma,Ajay Sharma,Business Analyst,digital internet marketing
Mahendra Bhandari,Mahendra Bhandari,Vattikuti Urology Institute,"robotic surgery,artificial intelligence"
Jiang Lu,Jiang Lu,University of Houston - Clear Lake,"human-machine interaction,cyber-physical system,wireless healthcare"
Pinghua Gong,Pinghua Gong,"University of Michigan, Ann Arbor","machine learning,data mining,optimization"
Jieping Ye,"Jieping Ye, IEEE Fellow & ACM Distinguished Member",University of Michigan & Beike,"machine learning,data mining,transportation,biomedical informatics"
Changshui Zhang,Changshui Zhang,"Dept. Automation, Tsinghua University, Beijing, China","machine learning,pattern recognition,signal processing,computer vision,artificial intelligence"
Austin P. Wright,Austin P. Wright,"PhD Student, Georgia Institute of Technology","machine learning,artificial intelligence,human-computer interaction,data visualisation,computational social science"
Sasha Richardson,Sasha Richardson,"Master's Student, New York University","data science,machine learning"
Sarah E. Finch,Sarah E. Finch (née Fillwock),"Ph.D. Student in Computer Science, Emory University","natural language processing,conversational ai,spoken dialogue systems"
James D. Finch,,,
Ingyu,Ingyu Oh,Kansai Gaidai University,"international business,organization studies,cultural industries,gender"
Choi,Jimmy Choi,"Assistant Professor, Columbia University","cognitive training,psychosocial rehabilitation"
Xiangjue Dong,Xiangjue Dong,"PhD Student, Texas A&M University","natural language processing,conversational ai"
Ruixiang Qi,Ruixiang Qi,"Software Engineer, Google LLC","computer science education,intelligent systems,nlp"
Harshita Sahijwani,Harshita Sahijwani,"Student, Emory University","information retrieval,conversational search"
Sergey Volokhin,Sergey Volokhin,Emory University,"information retrieval,conversational recommendation systems,machine learning"
Zihan Wang,Zihan Wang,University of California San Diego,natural language processing
Rajesh Kumar Mundotiya,Rajesh Kumar Mundotiya,"Research Scholar, IIT-BHU, Varanasi","natural language processing,information retrieval"
Shantanu Kumar,Shantanu Kumar,"University of California San Diego, The Scripps Research Institute","virology,cancer biology,stem cell biology,molecular biology"
Ajeet kumar,Ajeet Kumar,"Clarkson University, New York USA",nanoparticles/nanosensors/catalysis
Umesh Chandra Chaudhary,,,
Supriya Chauhan,,,
Swasti Mishra,Swasti Mishra,"Assistant Professor of Linguistics, Department of Humanistic Studies, Indian Institute of Technology (Banaras Hindu University)","sociolinguistics,language culture & society,lexicography,applied linguistics"
Praveen Gatla,Praveen Gatla,Assitant Professor of Linguistics,computational linguistics
Anil Kumar Singh,Anil Kumar Singh,Universidade de São Paulo,farmácos e medicamentos
Lu Hou,Lu Hou,Beijing University of Posts and Telecommunications,"python software,deep learning,reinforcement learning,vanet,edge computing"
Chantal Montgomery,,,
Haruna Isah,Haruna Isah,"Research Associate, Canadian Institute for Cybersecurity, University of New Brunswick","cyber security,big and streaming iot data analytics,data security and privacy,natural language processing,machine learning"
Farhana Zulkernine,"Farhana H. Zulkernine, PhD, PEng","Associate Professor, School of Computing, Queen's University","big data management and analytics,deep learning,cognitive computing,cloud computing"
Sashank Santhanam,Sashank Santhanam,UNC Charlotte; Apple,"dialog systems,cognitive science,linguistics"
Zhuo Cheng,Zhuo Chen,Microsoft cloud & AI,"audio processing,machine learning,speech recognition"
Brodie Mather,Brodie Mather,IHMC,"natural language processing,cyber security"
Bonnie Dorr,Bonnie Dorr,"University of Florida, IHMC, UMD","artificial intelligence,natural language processing,machine translation"
Archna Bhatia,Archna Bhatia,Institute for Human and Machine Cognition,"natural language processing,natural language understanding,speech processing for clinical applications,linguistics"
Bryanna Hebenstreit,Bryanna Hebenstreit,"PhD Candidate, University at Albany SUNY","ethnomethodology,conversation analysis,affect,instruction,experience"
Alan Zemel,Alan Zemel,University at Albany,language and social interaction
Adam Dalton,Adam Dalton,IHMC,"belief modeling,natural language processing,cyber security,anomaly detection,computer networks"
Tomek Strzalkowski,Tomek Strzalkowski,Rensselaer Polytechnic Institute,natural language processing
Eileen Pan,,,
Nassim Oufattole,Nassim Oufattole,"Computer Science and Mathematics Undergrad, Massachusetts Institute of Technology","computer science,math,economics"
Wei-Hung Weng,Wei-Hung Weng,Google Research,"artificial intelligence,machine learning,natural language processing,medical imaging,healthcare"
Hanyi Fang,,,
Joseph F DeRose,,,
Jiayao Wang,Jiayao Wang,"PhD student, Columbia University","computational biology,genetics,bioinformatics"
Shuang Liang,Shuang Liang,Shandong University,"membrane bioreactor,constructed wetland,membrane fouling,activated sludge"
Jun Lin,Jun Lin,Changchun institute of Applied chemistry,"materials science,nanomedicine,lanthanides,upconversion,luminescence"
Francesco Ricca,Francesco Ricca,"Associate professor of computer science, University of Calabria","logic programming,artificial intelligence,knowledge representation and reasoning,e-tourism,ontologies"
Alessandra Russo,Alessandra Russo,"Pharmacognosy Professor, University of Catania","medicinal plants,nutraceuticals,cancer,apoptosis,oxidative stress"
Sergio Greco,Sergio Greco,"professor of Computer Science, Università della Calabria","databases,logic programming"
Nicola Leone,Nicola Leone,"University of Calabria, Professor of Computer Science","artificial intelligence,knowledge representation and reasoning,databases,answer set programming,computational complexity."
Alexander Artikis,Alexander Artikis,"University of Piraeus, NCSR Demokritos","artificial intelligence,event processing"
Gerhard Friedrich,Gerhard Friedrich,"Professor of Computer Science, Alpen-Adria Universität Klagenfurt",artificial intelligence
Angelika Kimmig,Angelika Kimmig,KU Leuven,"artificial intelligence,probabilistic programming,relational learning,logic programming"
Francesca Lisi,Francesco Lisi,"PhD candidate, Department of Information Engineering, University of Pisa","near field focused arrays,wireless power transfer,reinforcement learning,massive mimo radar"
Marco Maratea,Marco Maratea,University of Genova,artificial intelligence
Alessandra Mileo,Alessandra Mileo,Dublin City University,"knowledge representation,stream reasoning,computational intelligence,deep representation learning,semantic technologies"
Fabrizio Riguzzi,Fabrizio Riguzzi,"Full Professor of Computer Science, University of Ferrara","artificial intelligence,machine learning,logic programming,probabilistic programming,probabilistic logic programming"
Yuan Zang,Yuan Zhang,"Department of Immunology, Institute of Basic Medical Sciences, Chinese Academy of Medical Sciences",
Bairu Hou,Bairu Hou,Tsinghua University,natural language processing
Xiaojun Meng,Xiaojun Meng,"Noah's ark Lab, Huawei / Ph.D. National University of Singapore",nlp & multimodal & hci(human-computer interaction)
Tharindu Bandaragoda,Tharindu Bandaragoda,"Research Centre for Data Analytics & Cognition, La Trobe University","machine learning,ai,natural language processing"
Gavin Kerrigan,Gavin Kerrigan,UC Irvine,machine learning
Dylan Slack,Dylan Slack,UC Irvine,"machine learning,deep learning,interpretability,fairness"
Jens Tuyls,Jens Tuyls,"PhD Student, Princeton University","machine learning,nlp,reinforcement learning,probabilistic graphical models"
Cassandra L. Jacobs,Cassandra L Jacobs,"Assistant Professor, University at Buffalo","cognitive science,psycholinguistics,memory,natural language processing"
Raeid Saqur,Raeid Saqur,"Princeton University, University of Toronto","machine learning,artifical intelligence,natural language computing,computer vision,optimization"
Muhammet cakir,Muhammet Çakır,Istanbul Technical University,"recommender systems,big data,deep learning"
sule gunduz oguducu,Şule Gündüz Öğüdücü,Professor at Istanbul Technical University,"data mining,web mining,recommendation systems,deep learning,social network analysis"
resul tugay,Resul Tugay,University of Edinburgh,"machine learning,knowledge graph,big data"
Francisco Vargas,Francisco Vargas,Professor at Universidad de Antioquia,"biometrics,signal processing,pattern recognition"
Ramya Rasipuram,Ramya Rasipuram,"Research and development engineer, Apple Inc.","speech recognition,speech synthesis,machine learning"
Dan Castellani,Daniel Castellani Ribeiro,"Senior Research Software Engineer, NYU Center for Urban Science and Progress","software engineering,data facilities,urban data,big data"
Qing Lyu,Qing Lu,"Associate Professor, Division of Biostatistics, Department of Epidemiology and Biostatistics","statistical genetics,bioinformatics,genetic epidemiology"
Mina Naghshnejad,Mina Naghshnejad,PhD in Computer Science,"natural language processing,resource allocation,applied machine learning,data mining,time series analysis"
Junlong Li,Junlong Li,Agios Pharmaceuticals,"biostatistics,heor,rwe,epidemiology,data science"
Xi Zhou,Xi Zhu,"Shenzhen Institute of Artificial Intelligence and Robotics for Society, CUHK-Shenzhen","ai& robotics,physical chemistry,gw-bse,neuromorphic computing,blockchain"
Xiang Zhou,Xiang Zhou,"Associate Professor of Biostatistics, University of Michigan","statistics,genetics,genomics"
Nicolas Affolter,,,
Beni Egressy,,,
Bryan Wilie,Bryan Wilie,"Dept. of Electronic & Computer Engineering, the Hong Kong University of Science & Technology","knowledge-grounded dialogue,nlp for health,efficient attention model,reasoning"
Karissa Vincentio,Karissa Vincentio,Universitas Multimedia Nusantara,"computational linguistic,natural language processing"
Xiaohong Li,Xiaohong Li,"Research Associate, Guangdong General Hospital","stem cell,cardiovascular disease"
Zhi Yuan Lim,Zhi Yuan Lim,Unknown affiliation,
Sidik Soleman,,,
Syafri Bahar,,,
Ayu Purwarianti,Ayu Purwarianti,"Associate Professor, Informatics, Institut Teknologi Bandung, Indonesia & Co-Founder at Prosa.ai","computational linguistics,machine learning"
Wanrong Hong,,,
Yusheng Xiang,Yusheng Xiang,Karlsruhe Institue of Technology,"artificial intelligence,mobile machines,iot,vehicle technology"
Ritam Dutt,Ritam Dutt,"Language Technologies Institute, Carnegie Mellon University","natural language processing,information retrieval,social computing,social networks,machine learning"
Rishabh Joshi,Rishabh Joshi,Carnegie Mellon University,language technologies
Carolyn Penstein Rose,Carolyn Penstein Rose,"Language Technologies Institute and Human-Computer Interaction Institute, Carnegie Mellon University","computational linguistics,discourse analysis,computer supported collaborative learning"
Xinyu Zuo,XINYU ZUO,Institute of Automation，Chinese Academy of Sciences,natural language processing
Yubo Chen,Yubo Chen,"Coca-Cola Chair Professor, School of Economics and Management, Tsinghua University","digital economy,digital marketing,e-commerce,mobile commerce,social media"
Xueli Xiao,Xueli Xiao,Georgia State University,deep learning
Sanxing Chen,Sanxing Chen,Microsoft,natural language processing
Aidan San,Aidan San,"PhD Student, University of Virginia",natural language processing
Giorgos Vernikos,Giorgos Vernikos,"PhD Student, EPFL and HEIG-VD","natural language processing,machine learning,machine translation"
Alexandra Chronopoulou,Alexandra Chronopoulou,"Assistant Professor, University of Illinois at Urbana-Champaign","stochastic modeling and simulation,financial engineering,statistical inference for stochastic processes"
Huy Duc Huynh,Huy Duc Huynh,University of Information Technology,data science natural language processing
Hang Thi-Thuy Do,Hang Thi-Thuy Do,University of Information Technology,natural language processing
Maha J. Althobaiti,Maha J. Althobaiti,"Assistant Professor of Computer Science, Taif University","natural language processing,computational linguistics,machine learning,information extraction,deep learning"
Vivian S. Silva,Vivian S. Silva,"PhD Candidate, University of Passau","natural language processing,textual inference,knowledge representation,artificial intelligence"
Siegfried Handschuh,Siegfried Handschuh,"Chair of Data Science and Natural Language Processing, University of St.Gallen","data science,natural language processing,artificial intelligence,machine learning,deep learning"
Hammond Pearce,Hammond Pearce,NYU Tandon School of Engineering,cyber-physical systems cybersecurity
Benjamin Tan,Benjamin Tan,"Assistant Professor, University of Calgary","embedded systems,computer architecture,security"
Ramesh Karri,Ramesh Karri,Shiv Nadar University,"bioinorganic chemistry,organometallic chemistry,chemical biology"
Samuel Gehman,Samuel Gehman,University of Washington,natural language processing
Suchin Gururangan,Suchin Gururangan,"University of Washington, Meta AI","natural language processing,machine learning"
Maarten Sap,Maarten Sap,Allen Institute for AI; CMU LTI,"natural language processing,artificial intelligence,commonsense reasoning,ethics in ai,computational social science"
Stefan Daniel Dumitrescu,Stefan Daniel Dumitrescu,Adobe,"deep learning,ml,natural language processing,information extraction"
Lijie Wang,Lijie Wang,"Changchun Institute of Optics Fine Mechanics and Physics, Chinese Academy of Sciences",diode laser
Ke Sun,Kai Sun,"Department of Materials Science and Engineering, University of Michigan","tem,materials characterization and synthesis"
Xinyan Xiao,Xinyan Xiao,Baidu,"natural language processing,statistical machine translation"
Gerhard Weikum,Gerhard Weikum,"Professor of Computer Science, Max Planck Institute for Informatics, Saarland Informatics Campus","databases,data mining,information retrieval,web data management,knowledge bases"
Luna Dong,Xin Luna Dong,Head Scientist at Facebook AR/VR Assistant,"knowledge graph,data quality,nlp,search"
Simon Razniewski,Simon Razniewski,"Senior Researcher, Max Planck Institute for Informatics","data quality,information extraction,knowledge bases"
Fabian Suchanek,Fabian Suchanek,"Professor at Télécom ParisTech, Paris, France","knowledge bases,information extraction,semantic web"
Hyun Dong Lee,Hyun Dong Lee,Columbia University,"computational neuroscience,machine learning"
Seongmin Lee,Seongmin Lee,University of Texas at Austin,
U Kang,U Kang,"Professor of Computer Science and Engineering, Seoul National University","data mining,machine learning"
Khanh-Hung Tran,Trần Khánh Hưng,National Economics University,"economic history,vietnam's economy"
Fred-Maurice Ngole-Mboula,,,
Jean-Luc Starck,Jean-Luc Starck,"CEA, Département d'Astrophysique","cosmology (cmb,weak-lensing,large scale structure),statistics,image processing"
Jonathan Pilault,Jonathan Pilault,"PhD student at MILA, Polytechnique Montreal","representation learning,natural language understanding,natural language generation,reasoning,graph representation learning"
Amine Elhattami,Amine Elhattami,"Polytechnic Montreal, Mila, ServiceNow Research","deep learning,nlp"
Christopher Pal,Chris Pal,"Professor, Polytechnique Montréal & Mila, ServiceNow Research, Canada CIFAR AI Chair","deep learning,computer vision & pattern recognition,natural language processing,data mining,ai"
Shunsuke Kitada,Shunsuke KITADA,Hosei University,"machine learning,deep learning,natural language processing,computer vision,computational advertisement"
Hitoshi Iyatomi,Hitoshi Iyatomi,"Professor, Hosei University, Japan","deep learning,computer vision,machine learning,medical engineering"
Theodore R. Sumers,,,
Mark K. Ho,,,
Robert D. Hawkins,Robert D. Hawkins,Princeton University,"cognitive science,language,social interaction,computational modeling"
Thomas L. Griffiths,Thomas L. Griffiths,"Professor of Psychology and Computer Science, Princeton University","computational models of cognition,cognitive science,machine learning,cognitive psychology,bayesian statistics"
Son Tran,Son Tran,"Principal Scientist, Amazon","computer vision,machine learning,deep learning,video processing"
Viktoriya Semeshenko,Viktoriya Semeshenko,Instituto Interdisciplinario de Economía Político de Buenos Aires,"networks,complex systems,data analysis,opinion formation,labor mobility"
Andrea Molinari,Andrea Molinari,University of Trento,computer science
Erik Rye,Erik Rye,University of Maryland,"network measurement,ipv6,privacy,wireless networks,bbq"
Jeremy Blackburn,Jeremy Blackburn,"Assistant Professor, Computer Science, Binghamton University",scoreboardology
Robert Beverly,Robert Beverly,"Associate Professor, Naval Postgraduate School","cybersecurity,network security,internet measurement"
Huishuang Tian,,,
Kexin Yang,Kexin Yang,Sichuan University,"natural language processing,controllable text generation"
J Gerard Wolff,,,
Rémy Garnier,,,
Raphaël Langhendries,,,
Carson Eisenach,Carson Eisenach,"Machine Learning Scientist, Amazon","statistical machine learning,deep learning,reinforcement learning"
Yagna Patel,Yagna Patel,Unknown affiliation,"machine learning,reinforcement learning"
Dhruv Madeka,Dhruv Madeka,"Principal Machine Learning Scientist, Amazon","artificial intelligence,reinforcement learning,applied mathematics,quantitative finance,machine learning"
Md. Mushfiqur Rahman,Md. Mushfiqur Rahman,"Dept. of Software Engineering, Daffodil International University","data science,data compression,ensemble learning,machine learning,data mining"
Thasin Abedin,Thasin Abedin,Islamic University of Technology,"computer vision,natural language processing,deep learning"
Khondokar S. S. Prottoy,Khondokar SS Prottoy,Student of Islamic University of Technology,machine learning
Ayana Moshruba,Ayana Moshruba,Islamic University of Technology,"machine learning,deep learning,signal processing"
Fazlul Hasan Siddiqui,Fazlul Hasan  Siddiqui,"Professor of CSE, DUET, Gazipur, Bangladesh","artificial intelligence,automated planning & scheduling,machine learning"
Mario Graff,Mario Graff,CONACYT - INFOTEC Centro de Investigación e Innovación en Tecnologías de la,"artificial intelligence,genetic programming,evolutionary computation,natural language processing,text categorization"
Sabino Miranda-Jiménez,,,
Eric S. Tellez,Eric S. Tellez,CONACyT - INFOTEC Centro de Investigación e Innovación en Tecnologías de la Información y,"similarity search,text categorization,information retrieval"
Jeff Heaton,Jeff Heaton,"VP, Data Science at RGA, Adjunct at Washington University, St. Louis","artificial intelligence,data science,computer science"
Parthasarathy Suryanarayanan,Parthasarathy Suryanarayanan,IBM Research,"natural language processing,ai,machine learning,healthcare"
Ching-Huei Tsou,Ching-Huei Tsou,IBM Research,"machine learning,health analytics,natural language processing"
Ananya Poddar,Ananya Poddar,"Research Engineer, IBM Research","nlp,machine learning"
Diwakar Mahajan,Diwakar Mahajan,"Applied Scientist, IBM Research / MIT-IBM Watson AI Lab","natural language processing,machine learning,clinical nlp"
Bharath Dandala,bharath dandala,IBM,"natural language processing,machine learning,deep learning,clinical nlp"
Piyush Madan,Piyush Madan,Student at IIT Roorkee,"computer networks,data mining"
Anshul Agrawal,Anshul Agarwal,Data Science Director,"operations research,machine learning,artificial intelligence,nlp"
Charles Wachira,Charles Wachira,"Software Developer, IBM Research Africa","embedded systems,iot,machine learning,healthcare"
Osebe Mogaka Samuel,,,
Osnat Bar-Shira,,,
Clifton Kipchirchir,,,
Sharon Okwako,,,
William Ogallo,,,
Fred Otieno,Fred Otieno,IBM,"computer science,artificial intelligence"
Timothy Nyota,,,
Fiona Matu,,,
Vesna Resende Barros,,,
Daniel Shats,Daniel Shats,Technion,"deep learning,computer vision,mathematics"
Oren Kagan,,,
Sekou Remy,Sekou L. Remy,Research Scientist,"healthcare,robotics,simulation,networked systems,training"
Oliver Bent,Oliver Bent,University of Oxford,"artificial intelligence,machine learning,reinforcement learning"
Pooja Guhan,Pooja Guhan,Student at University of Maryland College Park,"machine learning,robotics,affective computing,virtual reality"
Shilpa Mahatma,Shilpa Shitole,"Assistant Professor of Botany, Mahatma Phule College, Pimpri",plant physiology
